primary_language,field,total_evaluated,total_correct,accuracy
Python,project_title,8,8,1.0000
Python,primary_language,8,8,1.0000
Python,license_name,8,8,1.0000
Python,description,8,7,0.8750
Python,usage_type,8,8,1.0000
Python,installation_method,8,8,1.0000
JavaScript,project_title,8,8,1.0000
JavaScript,primary_language,8,8,1.0000
JavaScript,license_name,8,8,1.0000
JavaScript,description,8,6,0.7500
JavaScript,usage_type,8,8,1.0000
JavaScript,installation_method,8,8,1.0000
Java,project_title,5,5,1.0000
Java,primary_language,5,2,0.4000
Java,license_name,5,3,0.6000
Java,description,5,2,0.4000
Java,usage_type,5,4,0.8000
Java,installation_method,5,4,0.8000
C,project_title,3,2,0.6667
C,primary_language,3,1,0.3333
C,license_name,3,2,0.6667
C,description,3,0,0.0000
C,usage_type,3,2,0.6667
C,installation_method,3,3,1.0000
C++,project_title,4,4,1.0000
C++,primary_language,4,1,0.2500
C++,license_name,4,4,1.0000
C++,description,4,2,0.5000
C++,usage_type,4,4,1.0000
C++,installation_method,4,4,1.0000
Go,project_title,1,0,0.0000
Go,primary_language,1,0,0.0000
Go,license_name,1,1,1.0000
Go,description,1,0,0.0000
Go,usage_type,1,0,0.0000
Go,installation_method,1,1,1.0000
Generic,project_title,1,1,1.0000
Generic,primary_language,1,0,0.0000
Generic,license_name,1,1,1.0000
Generic,description,1,0,0.0000
Generic,usage_type,1,1,1.0000
Generic,installation_method,1,0,0.0000
