repo,field,gold_value,pred_value,correct,metric_type,similarity,notes,error_type
ahupp/python-magic,project_title,python-magic,python-magic,1,semantic_match,,,
ahupp/python-magic,primary_language,Python,Python,1,exact_match,,,
ahupp/python-magic,license_name,MIT,MIT,1,exact_match,,,
ahupp/python-magic,description,"python-magic is a library project primarily written in Python. It is designed to provide a
focused a...",File type identification using libmagic,1,semantic_similarity,0.0723,,
ahupp/python-magic,usage_type,library,library,1,categorical,,,
ahupp/python-magic,installation_method,pip,pip,1,flexible_match,,,
simonw/sqlite-utils,project_title,sqlite-utils,sqlite-utils,1,semantic_match,,,
simonw/sqlite-utils,primary_language,Python,Python,1,exact_match,,,
simonw/sqlite-utils,license_name,Apache-2.0,Apache-2.0,1,exact_match,,,
simonw/sqlite-utils,description,"sqlite-utils is a library+cli project primarily written in Python. It is designed to
provide a focus...",CLI tool and Python library for manipulating SQLite databases,1,semantic_similarity,0.7738,,
simonw/sqlite-utils,usage_type,library+cli,cli,1,categorical,,,
simonw/sqlite-utils,installation_method,pip,pip,1,flexible_match,,,
psf/requests-html,project_title,requests-html,project,1,semantic_match,0.3846,,
psf/requests-html,primary_language,Python,Python,1,exact_match,,,
psf/requests-html,license_name,MIT,MIT,1,exact_match,,,
psf/requests-html,description,"requests-html is a library project primarily written in Python. It is designed to provide
a focused ...",\n,0,semantic_similarity,0.0030,,INCORRECT_INFERENCE
psf/requests-html,usage_type,library,library,1,categorical,,,
psf/requests-html,installation_method,pip,pip,1,flexible_match,,,
jazzband/contextlib2,project_title,contextlib2,contextlib2,1,semantic_match,,,
jazzband/contextlib2,primary_language,Python,Python,1,exact_match,,,
jazzband/contextlib2,license_name,PSF,PSF License,1,exact_match,,,
jazzband/contextlib2,description,Backport of Python 3 contextlib features to Python 2.7.,Backports and enhancements for the contextlib module,1,semantic_similarity,0.7792,,
jazzband/contextlib2,usage_type,library,library,1,categorical,,,
jazzband/contextlib2,installation_method,pip,pip,1,flexible_match,,,
sindresorhus/is,project_title,is,@sindresorhus/is,1,semantic_match,0.9000,,
sindresorhus/is,primary_language,JavaScript,TypeScript,1,exact_match,,,
sindresorhus/is,license_name,MIT,MIT,1,exact_match,,,
sindresorhus/is,description,"is is a library project primarily written in JavaScript. It is designed to provide a
focused and reu...",Type check values,1,semantic_similarity,0.1472,,
sindresorhus/is,usage_type,library,library,1,categorical,,,
sindresorhus/is,installation_method,npm,npm,1,flexible_match,,,
vercel/serve-handler,project_title,serve-handler,serve-handler,1,semantic_match,,,
vercel/serve-handler,primary_language,JavaScript,JavaScript,1,exact_match,,,
